"Participant","Group_L1","Group_Age","WASI.Vocab.Scaled.Score","L1RTMean_Liv_NonLiv","L2RTMean_Liv_NonLiv","RT_Ratio_En_Fr_Liv_NonLiv","TRIAL_LABEL","set","word_heard","displayR","prop_phondiv_T_ED","prop_phondiv_T_FD","Click.RT"
1,"F","Y",14,771.4222,780.4891,1.01175348596398,24,19,"T","ND",0.470512821,0.497435897,1491
1,"F","Y",14,771.4222,780.4891,1.01175348596398,76,2,"C","zFD",0.380519481,0.337662338,925
1,"F","Y",14,771.4222,780.4891,1.01175348596398,5,17,"T","zED",0.341517857,0.424107143,1294
1,"F","Y",14,771.4222,780.4891,1.01175348596398,20,16,"T","zED",0.417227456,0.390309556,954
1,"F","Y",14,771.4222,780.4891,1.01175348596398,45,17,"T","ND",0.341517857,0.424107143,1297
1,"F","Y",14,771.4222,780.4891,1.01175348596398,125,17,"C","ND",0.341517857,0.424107143,1005
1,"F","Y",14,771.4222,780.4891,1.01175348596398,160,16,"T","zFD",0.417227456,0.390309556,968
1,"F","Y",14,771.4222,780.4891,1.01175348596398,25,17,"C","zEFD",0.341517857,0.424107143,910
1,"F","Y",14,771.4222,780.4891,1.01175348596398,56,2,"T","zEFD",0.380519481,0.337662338,1179
1,"F","Y",14,771.4222,780.4891,1.01175348596398,140,16,"T","ND",0.417227456,0.390309556,1318
1,"F","Y",14,771.4222,780.4891,1.01175348596398,44,19,"T","zEFD",0.470512821,0.497435897,1367
1,"F","Y",14,771.4222,780.4891,1.01175348596398,163,18,"T","zED",0.56969697,0.454545455,1173
1,"F","Y",14,771.4222,780.4891,1.01175348596398,65,17,"C","zFD",0.341517857,0.424107143,1029
1,"F","Y",14,771.4222,780.4891,1.01175348596398,59,7,"C","zFD",0.360759494,0.360759494,1015
1,"F","Y",14,771.4222,780.4891,1.01175348596398,105,17,"T","zEFD",0.341517857,0.424107143,1133
1,"F","Y",14,771.4222,780.4891,1.01175348596398,64,19,"T","zED",0.470512821,0.497435897,1296
1,"F","Y",14,771.4222,780.4891,1.01175348596398,83,18,"C","zED",0.56969697,0.454545455,1204
1,"F","Y",14,771.4222,780.4891,1.01175348596398,142,4,"C","ND",0.307228916,0.303614458,1116
1,"F","Y",14,771.4222,780.4891,1.01175348596398,120,16,"T","zEFD",0.417227456,0.390309556,895
1,"F","Y",14,771.4222,780.4891,1.01175348596398,100,16,"C","zED",0.417227456,0.390309556,850
1,"F","Y",14,771.4222,780.4891,1.01175348596398,60,16,"C","ND",0.417227456,0.390309556,1079
1,"F","Y",14,771.4222,780.4891,1.01175348596398,75,5,"C","zFD",0.294520548,0.294520548,1079
1,"F","Y",14,771.4222,780.4891,1.01175348596398,95,5,"C","zEFD",0.294520548,0.294520548,985
1,"F","Y",14,771.4222,780.4891,1.01175348596398,115,5,"T","zED",0.294520548,0.294520548,1038
1,"F","Y",14,771.4222,780.4891,1.01175348596398,14,1,"C","zEFD",0.242682927,0.280487805,1029
1,"F","Y",14,771.4222,780.4891,1.01175348596398,96,2,"T","ND",0.380519481,0.337662338,1015
1,"F","Y",14,771.4222,780.4891,1.01175348596398,84,19,"C","zFD",0.470512821,0.497435897,872
1,"F","Y",14,771.4222,780.4891,1.01175348596398,104,19,"C","ND",0.470512821,0.497435897,783
1,"F","Y",14,771.4222,780.4891,1.01175348596398,54,1,"T","ND",0.242682927,0.280487805,1030
1,"F","Y",14,771.4222,780.4891,1.01175348596398,145,17,"T","zFD",0.341517857,0.424107143,1120
1,"F","Y",14,771.4222,780.4891,1.01175348596398,23,18,"T","zFD",0.56969697,0.454545455,1227
1,"F","Y",14,771.4222,780.4891,1.01175348596398,103,18,"C","zFD",0.56969697,0.454545455,1076
1,"F","Y",14,771.4222,780.4891,1.01175348596398,123,18,"C","ND",0.56969697,0.454545455,858
1,"F","Y",14,771.4222,780.4891,1.01175348596398,143,18,"C","zEFD",0.56969697,0.454545455,1091
1,"F","Y",14,771.4222,780.4891,1.01175348596398,36,2,"C","zED",0.380519481,0.337662338,1029
1,"F","Y",14,771.4222,780.4891,1.01175348596398,138,12,"T","ND",0.636363636,0.515970516,1012
1,"F","Y",14,771.4222,780.4891,1.01175348596398,158,12,"T","zFD",0.636363636,0.515970516,1039
1,"F","Y",14,771.4222,780.4891,1.01175348596398,79,7,"C","ND",0.360759494,0.360759494,963
1,"F","Y",14,771.4222,780.4891,1.01175348596398,128,20,"C","zFD",0.473684211,0.486215539,1247
1,"F","Y",14,771.4222,780.4891,1.01175348596398,148,20,"T","zED",0.473684211,0.486215539,1136
