"Participant","Group_L1","Group_Age","WASI.Vocab.Scaled.Score","L1RTMean_Liv_NonLiv","L2RTMean_Liv_NonLiv","RT_Ratio_En_Fr_Liv_NonLiv","TRIAL_LABEL","set","word_heard","displayR","prop_phondiv_T_ED","prop_phondiv_T_FD","Target.prop","Eng_Comp.prop","Fr_Comp.prop"
1,"F","Y",14,771.4222,780.4891,1.01175348596398,35,5,"C","zED",0.294520548,0.294520548,0,0,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,76,2,"C","zFD",0.380519481,0.337662338,0,0,0.6225
1,"F","Y",14,771.4222,780.4891,1.01175348596398,63,18,"T","zEFD",0.56969697,0.454545455,0.5525,0.4475,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,45,17,"T","ND",0.341517857,0.424107143,0.1725,0,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,103,18,"C","zFD",0.56969697,0.454545455,0,0,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,24,19,"T","ND",0.470512821,0.497435897,0,0,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,43,18,"T","ND",0.56969697,0.454545455,1,0,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,83,18,"C","zED",0.56969697,0.454545455,0,0,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,56,2,"T","zEFD",0.380519481,0.337662338,0.37,0.63,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,23,18,"T","zFD",0.56969697,0.454545455,0.2925,0,0.16
1,"F","Y",14,771.4222,780.4891,1.01175348596398,55,5,"T","ND",0.294520548,0.294520548,1,0,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,15,5,"T","zEFD",0.294520548,0.294520548,0.25,0,0.0825
1,"F","Y",14,771.4222,780.4891,1.01175348596398,123,18,"C","ND",0.56969697,0.454545455,0,0,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,97,8,"T","zEFD",0.36039604,0.36039604,0,0.573991031,0.426008969
1,"F","Y",14,771.4222,780.4891,1.01175348596398,163,18,"T","zED",0.56969697,0.454545455,0.1025,0.8975,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,75,5,"C","zFD",0.294520548,0.294520548,0,0,0.7325
1,"F","Y",14,771.4222,780.4891,1.01175348596398,124,19,"C","zEFD",0.470512821,0.497435897,0,0,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,13,6,"T","zED",0.425,0.425,0.6125,0,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,145,17,"T","zFD",0.341517857,0.424107143,0.8875,0,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,125,17,"C","ND",0.341517857,0.424107143,0,0,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,85,17,"C","zED",0.341517857,0.424107143,0.1875,0,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,113,6,"C","zEFD",0.425,0.425,0.2975,0,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,133,6,"C","ND",0.425,0.425,0,0,0
