"Participant","Group_L1","Group_Age","WASI.Vocab.Scaled.Score","L1RTMean_Liv_NonLiv","L2RTMean_Liv_NonLiv","RT_Ratio_En_Fr_Liv_NonLiv","TRIAL_LABEL","set","word_heard","displayR","prop_phondiv_T_ED","Target.prop","Eng_Comp.prop","Fr_Comp.prop"
1,"F","Y",14,771.4222,780.4891,1.01175348596398,24,19,"T","ND",0.470512821,0.89,0,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,76,2,"C","zFD",0.380519481,0,0,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,5,17,"T","zED",0.341517857,0.6575,0,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,20,16,"T","zED",0.417227456,1,0,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,45,17,"T","ND",0.341517857,1,0,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,125,17,"C","ND",0.341517857,0,0,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,160,16,"T","zFD",0.417227456,1,0,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,25,17,"C","zEFD",0.341517857,0,0,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,56,2,"T","zEFD",0.380519481,1,0,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,140,16,"T","ND",0.417227456,1,0,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,44,19,"T","zEFD",0.470512821,0.1875,0,0.375
1,"F","Y",14,771.4222,780.4891,1.01175348596398,163,18,"T","zED",0.56969697,1,0,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,65,17,"C","zFD",0.341517857,0,0,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,59,7,"C","zFD",0.360759494,0,0,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,105,17,"T","zEFD",0.341517857,0.985,0,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,64,19,"T","zED",0.470512821,0.8375,0,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,83,18,"C","zED",0.56969697,0,0,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,142,4,"C","ND",0.307228916,0,0,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,120,16,"T","zEFD",0.417227456,0.5625,0.4375,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,100,16,"C","zED",0.417227456,0,0,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,60,16,"C","ND",0.417227456,0,0,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,75,5,"C","zFD",0.294520548,0,0,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,95,5,"C","zEFD",0.294520548,0.16,0,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,115,5,"T","zED",0.294520548,0.89,0,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,14,1,"C","zEFD",0.242682927,0,0,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,96,2,"T","ND",0.380519481,1,0,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,84,19,"C","zFD",0.470512821,0,0,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,104,19,"C","ND",0.470512821,0,0,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,54,1,"T","ND",0.242682927,1,0,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,145,17,"T","zFD",0.341517857,0.7025,0,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,23,18,"T","zFD",0.56969697,1,0,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,103,18,"C","zFD",0.56969697,0.43,0,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,123,18,"C","ND",0.56969697,0,0,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,143,18,"C","zEFD",0.56969697,0,0,0.4925
1,"F","Y",14,771.4222,780.4891,1.01175348596398,36,2,"C","zED",0.380519481,0,0,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,138,12,"T","ND",0.636363636,1,0,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,158,12,"T","zFD",0.636363636,0.8325,0,0.0175
1,"F","Y",14,771.4222,780.4891,1.01175348596398,79,7,"C","ND",0.360759494,0,0,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,128,20,"C","zFD",0.473684211,0,0,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,148,20,"T","zED",0.473684211,0.6,0,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,62,4,"T","ND",0.307228916,0.33,0,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,124,19,"C","zEFD",0.470512821,0,0,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,144,19,"C","zED",0.470512821,0,0,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,164,19,"T","zFD",0.470512821,0.2575,0,0.555
1,"F","Y",14,771.4222,780.4891,1.01175348596398,8,20,"C","ND",0.473684211,0.14,0,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,109,15,"C","zED",0.478571429,0,0,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,80,16,"C","zFD",0.417227456,0,0,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,40,16,"C","zEFD",0.417227456,0.2825,0.0075,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,55,5,"T","ND",0.294520548,1,0,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,19,7,"C","zEFD",0.360759494,0,0,1
1,"F","Y",14,771.4222,780.4891,1.01175348596398,70,10,"T","zEFD",0.232018561,1,0,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,135,5,"C","ND",0.294520548,0,0,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,155,5,"T","zFD",0.294520548,1,0,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,85,17,"C","zED",0.341517857,0,0,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,34,1,"C","zFD",0.242682927,0,0,0.025
1,"F","Y",14,771.4222,780.4891,1.01175348596398,53,6,"T","ND",0.425,1,0,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,74,1,"C","zED",0.242682927,0,0,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,94,1,"T","zEFD",0.242682927,1,0,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,43,18,"T","ND",0.56969697,1,0,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,63,18,"T","zEFD",0.56969697,1,0,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,16,2,"C","ND",0.380519481,0,0,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,153,6,"T","zFD",0.425,0.8575,0,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,48,20,"T","zFD",0.473684211,0.66,0,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,39,7,"C","zED",0.360759494,0.1375,0,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,88,20,"T","ND",0.473684211,1,0,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,99,7,"T","zEFD",0.360759494,0.955,0.045,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,116,2,"T","zED",0.380519481,1,0,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,136,2,"C","zEFD",0.380519481,0.285,0,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,156,2,"T","zFD",0.380519481,1,0,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,21,3,"C","zEFD",0.282485876,0,0,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,41,3,"C","ND",0.282485876,0,0,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,61,3,"T","zFD",0.282485876,1,0,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,81,3,"C","zED",0.282485876,0.23,0,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,101,3,"T","zEFD",0.282485876,0.6475,0.3425,0.01
1,"F","Y",14,771.4222,780.4891,1.01175348596398,28,20,"T","zEFD",0.473684211,0.5375,0.4625,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,50,10,"C","ND",0.232018561,0,0,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,68,20,"C","zED",0.473684211,0,0,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,118,12,"T","zEFD",0.636363636,1,0,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,108,20,"C","zEFD",0.473684211,0,0,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,122,4,"C","zED",0.307228916,0,0,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,72,9,"T","zED",0.431034483,1,0,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,162,4,"C","zEFD",0.307228916,0,0,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,102,4,"T","zFD",0.307228916,0.9625,0,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,49,15,"T","ND",0.478571429,0.8525,0,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,15,5,"T","zEFD",0.294520548,1,0,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,35,5,"C","zED",0.294520548,0,0,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,129,15,"C","ND",0.478571429,0,0,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,149,15,"T","zFD",0.478571429,0.965,0,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,78,12,"C","zFD",0.636363636,0,0,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,98,12,"T","zED",0.636363636,0.445,0.555,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,141,3,"C","zFD",0.282485876,0,0,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,90,10,"C","zFD",0.232018561,0,0,0.235
1,"F","Y",14,771.4222,780.4891,1.01175348596398,110,10,"C","zED",0.232018561,0,0,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,13,6,"T","zED",0.425,1,0,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,33,6,"T","zEFD",0.425,1,0,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,131,11,"C","zED",0.462184874,0,0,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,151,11,"T","zEFD",0.462184874,1,0,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,73,6,"C","zFD",0.425,0,0,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,114,1,"T","zFD",0.242682927,1,0,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,134,1,"C","ND",0.242682927,0,0,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,154,1,"T","zED",0.242682927,1,0,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,97,8,"T","zEFD",0.36039604,0.65,0,0.35
1,"F","Y",14,771.4222,780.4891,1.01175348596398,121,3,"T","ND",0.282485876,1,0,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,117,8,"C","zED",0.36039604,0,0,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,161,3,"T","zED",0.282485876,1,0,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,22,4,"C","zFD",0.307228916,0,0,0.155
1,"F","Y",14,771.4222,780.4891,1.01175348596398,7,13,"C","zEFD",0.529329609,0.6375,0.0925,0
1,"F","Y",14,771.4222,780.4891,1.01175348596398,119,7,"T","zED",0.360759494,1,0,0
